Company,Address Line 1,City,State,ZipCode,Employee Size (5) - Location,Sales Volume (9) - Location,Latitude,Longitude,Sector Code
FARM CREDIT FINANCIAL PRTNERS,67 HUNT ST # 2,AGAWAM,MA,1001,100,71500,42.08212,-72.59316,21
ALDEN CREDIT UNION,30 MAIN ST,AMHERST,MA,1002,5,1365,42.3758,-72.51945,20
MASS MUTUAL FINANCIAL GROUP,29 S PLEASANT ST,AMHERST,MA,1002,40,7440,42.375385,-72.519984,23
COLLECTIVE COPIES,71 S PLEASANT ST,AMHERST,MA,1002,13,2086,42.37473,-72.52032,12
ALL SAME LOCAL CO-OP MARKET,104 N PLEASANT ST,AMHERST,MA,1002,2,501,42.377211,-72.520154,11
CONCORD GENL MUTUAL INS,538 N BROOKFIELD RD,BARRE,MA,1005,3,558,42.36479,-72.11417,22
PACE COOPERATIVE,39 FEDERAL ST,BELCHERTOWN,MA,1007,10,,42.291135,-72.409157,33
POLISH NATIONAL CU,244 EXCHANGE ST,CHICOPEE,MA,1013,6,1638,42.14781,-72.60795,20
FREEDOM CREDIT UNION,1976 MEMORIAL DR,CHICOPEE,MA,1020,6,1638,42.21086,-72.57197,20
POLISH NATIONAL CREDIT UNION,46 MAIN ST,CHICOPEE,MA,1020,50,13650,42.15837,-72.58481,20
ALDENVILLE CREDIT UNION,710 GRATTAN ST,CHICOPEE,MA,1020,30,8190,42.1743,-72.59919,20
CHICOPEE MUNICIPAL EMPL CU,923 FRONT ST,CHICOPEE,MA,1020,10,2730,42.15201,-72.58509,20
POLISH NATIONAL CREDIT UNION,617 MONTGOMERY ST,CHICOPEE,MA,1020,6,1638,42.17758,-72.59462,20
OLD CREAMERY CO-OP,445 BERKSHIRE TRL,CUMMINGTON,MA,1026,20,5016,42.464095,-72.905235,11
LUTHIER COOPERATIVE,108 COTTAGE ST,EASTHAMPTON,MA,1027,6,1121,42.26393,-72.66473,12
FREEDOM CREDIT UNION,442B MAIN ST,EASTHAMPTON,MA,1027,6,1638,42.269211,-72.670948,20
PREMIER SOURCE CU,232 N MAIN ST # 1,EAST LONGMEADOW,MA,1028,30,8190,42.07319,-72.5196,20
PREMIER SOURCE CREDIT UNION,232 N MAIN ST # 1,EAST LONGMEADOW,MA,1028,20,5460,42.07319,-72.5196,20
TWIN MEADOWS FED CREDIT UNION,,EAST LONGMEADOW,MA,1028,6,1638,42.059332,-72.510348,20
FREEDOM CREDIT UNION,959 SPRINGFIELD ST,FEEDING HILLS,MA,1030,5,1365,42.07117,-72.66107,20
HARDWICK FARMERS CO-OP EXCH,444 LOWER RD,GILBERTVILLE,MA,1031,11,23180,42.31279,-72.18553,10
